#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,5.82E-01
4.00E-02,3.34E-01
6.00E-02,2.41E-01
8.00E-02,1.91E-01
1.00E-01,1.60E-01
1.20E-01,1.39E-01
1.40E-01,1.23E-01
1.60E-01,1.11E-01
1.80E-01,1.02E-01
2.00E-01,9.41E-02
2.20E-01,8.78E-02
2.40E-01,8.24E-02
2.60E-01,7.78E-02
2.80E-01,7.39E-02
3.00E-01,7.04E-02
3.20E-01,6.74E-02
3.40E-01,6.47E-02
3.60E-01,6.23E-02
3.80E-01,6.01E-02
4.00E-01,5.82E-02
4.20E-01,5.64E-02
4.40E-01,5.48E-02
4.60E-01,5.33E-02
4.80E-01,5.19E-02
5.00E-01,5.07E-02
5.20E-01,4.95E-02
5.40E-01,4.85E-02
5.60E-01,4.75E-02
5.80E-01,4.65E-02
6.00E-01,4.57E-02
6.20E-01,4.48E-02
6.40E-01,4.41E-02
6.60E-01,4.34E-02
6.80E-01,4.27E-02
7.00E-01,4.21E-02
7.20E-01,4.15E-02
7.40E-01,4.09E-02
7.60E-01,4.04E-02
7.80E-01,3.99E-02
8.00E-01,3.94E-02
8.20E-01,3.89E-02
8.40E-01,3.85E-02
8.60E-01,3.81E-02
8.80E-01,3.77E-02
9.00E-01,3.73E-02
9.20E-01,3.69E-02
9.40E-01,3.66E-02
9.60E-01,3.63E-02
9.80E-01,3.59E-02
1.00E+00,3.56E-02
1.02E+00,3.54E-02
1.04E+00,3.51E-02
1.06E+00,3.48E-02
1.08E+00,3.46E-02
1.10E+00,3.43E-02
1.12E+00,3.41E-02
1.14E+00,3.39E-02
1.16E+00,3.36E-02
1.18E+00,3.34E-02
1.20E+00,3.32E-02
1.22E+00,3.30E-02
1.24E+00,3.28E-02
1.26E+00,3.27E-02
1.28E+00,3.25E-02
1.30E+00,3.23E-02
1.32E+00,3.22E-02
1.34E+00,3.20E-02
1.36E+00,3.18E-02
1.38E+00,3.17E-02
1.40E+00,3.16E-02
1.42E+00,3.14E-02
1.44E+00,3.13E-02
1.46E+00,3.12E-02
1.48E+00,3.10E-02
1.50E+00,3.09E-02
1.52E+00,3.08E-02
1.54E+00,3.07E-02
1.56E+00,3.06E-02
1.58E+00,3.05E-02
1.60E+00,3.04E-02
1.62E+00,3.03E-02
1.64E+00,3.02E-02
1.66E+00,3.01E-02
1.68E+00,3.00E-02
1.70E+00,2.99E-02
1.72E+00,2.98E-02
1.74E+00,2.97E-02
1.76E+00,2.96E-02
1.78E+00,2.96E-02
1.80E+00,2.95E-02
1.82E+00,2.94E-02
1.84E+00,2.93E-02
1.86E+00,2.93E-02
1.88E+00,2.92E-02
1.90E+00,2.91E-02
1.92E+00,2.91E-02
1.94E+00,2.90E-02
1.96E+00,2.89E-02
1.98E+00,2.89E-02
2.00E+00,2.88E-02
