#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,6.07E+00
4.00E-02,3.43E+00
6.00E-02,2.46E+00
8.00E-02,1.95E+00
1.00E-01,1.63E+00
1.20E-01,1.41E+00
1.40E-01,1.25E+00
1.60E-01,1.13E+00
1.80E-01,1.03E+00
2.00E-01,9.53E-01
2.20E-01,8.88E-01
2.40E-01,8.33E-01
2.60E-01,7.87E-01
2.80E-01,7.47E-01
3.00E-01,7.11E-01
3.20E-01,6.81E-01
3.40E-01,6.53E-01
3.60E-01,6.29E-01
3.80E-01,6.07E-01
4.00E-01,5.87E-01
4.20E-01,5.69E-01
4.40E-01,5.53E-01
4.60E-01,5.37E-01
4.80E-01,5.24E-01
5.00E-01,5.11E-01
5.20E-01,4.99E-01
5.40E-01,4.88E-01
5.60E-01,4.78E-01
5.80E-01,4.69E-01
6.00E-01,4.60E-01
6.20E-01,4.52E-01
6.40E-01,4.44E-01
6.60E-01,4.37E-01
6.80E-01,4.30E-01
7.00E-01,4.23E-01
7.20E-01,4.17E-01
7.40E-01,4.12E-01
7.60E-01,4.06E-01
7.80E-01,4.01E-01
8.00E-01,3.96E-01
8.20E-01,3.92E-01
8.40E-01,3.87E-01
8.60E-01,3.83E-01
8.80E-01,3.79E-01
9.00E-01,3.75E-01
9.20E-01,3.72E-01
9.40E-01,3.68E-01
9.60E-01,3.65E-01
9.80E-01,3.62E-01
1.00E+00,3.59E-01
1.02E+00,3.56E-01
1.04E+00,3.53E-01
1.06E+00,3.50E-01
1.08E+00,3.48E-01
1.10E+00,3.45E-01
1.12E+00,3.43E-01
1.14E+00,3.40E-01
1.16E+00,3.38E-01
1.18E+00,3.36E-01
1.20E+00,3.34E-01
1.22E+00,3.32E-01
1.24E+00,3.30E-01
1.26E+00,3.28E-01
1.28E+00,3.27E-01
1.30E+00,3.25E-01
1.32E+00,3.23E-01
1.34E+00,3.22E-01
1.36E+00,3.20E-01
1.38E+00,3.19E-01
1.40E+00,3.17E-01
1.42E+00,3.16E-01
1.44E+00,3.14E-01
1.46E+00,3.13E-01
1.48E+00,3.12E-01
1.50E+00,3.10E-01
1.52E+00,3.09E-01
1.54E+00,3.08E-01
1.56E+00,3.07E-01
1.58E+00,3.05E-01
1.60E+00,3.04E-01
1.62E+00,3.03E-01
1.64E+00,3.02E-01
1.66E+00,3.01E-01
1.68E+00,3.00E-01
1.70E+00,2.99E-01
1.72E+00,2.98E-01
1.74E+00,2.97E-01
1.76E+00,2.96E-01
1.78E+00,2.96E-01
1.80E+00,2.95E-01
1.82E+00,2.94E-01
1.84E+00,2.93E-01
1.86E+00,2.92E-01
1.88E+00,2.91E-01
1.90E+00,2.91E-01
1.92E+00,2.90E-01
1.94E+00,2.89E-01
1.96E+00,2.89E-01
1.98E+00,2.88E-01
2.00E+00,2.87E-01
