#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.89E-02
4.00E-02,2.36E-02
6.00E-02,2.82E-02
8.00E-02,3.28E-02
1.00E-01,3.75E-02
1.20E-01,4.21E-02
1.40E-01,4.68E-02
1.60E-01,5.15E-02
1.80E-01,5.62E-02
2.00E-01,6.09E-02
2.20E-01,6.56E-02
2.40E-01,7.03E-02
2.60E-01,7.50E-02
2.80E-01,7.97E-02
3.00E-01,8.45E-02
3.20E-01,8.92E-02
3.40E-01,9.39E-02
3.60E-01,9.86E-02
3.80E-01,1.03E-01
4.00E-01,1.08E-01
4.20E-01,1.13E-01
4.40E-01,1.18E-01
4.60E-01,1.22E-01
4.80E-01,1.27E-01
5.00E-01,1.32E-01
5.20E-01,1.36E-01
5.40E-01,1.41E-01
5.60E-01,1.46E-01
5.80E-01,1.51E-01
6.00E-01,1.55E-01
6.20E-01,1.60E-01
6.40E-01,1.65E-01
6.60E-01,1.70E-01
6.80E-01,1.74E-01
7.00E-01,1.79E-01
7.20E-01,1.84E-01
7.40E-01,1.89E-01
7.60E-01,1.93E-01
7.80E-01,1.98E-01
8.00E-01,2.03E-01
8.20E-01,2.08E-01
8.40E-01,2.12E-01
8.60E-01,2.17E-01
8.80E-01,2.22E-01
9.00E-01,2.26E-01
9.20E-01,2.31E-01
9.40E-01,2.36E-01
9.60E-01,2.41E-01
9.80E-01,2.45E-01
1.00E+00,2.50E-01
1.02E+00,2.55E-01
1.04E+00,2.60E-01
1.06E+00,2.65E-01
1.08E+00,2.69E-01
1.10E+00,2.74E-01
1.12E+00,2.79E-01
1.14E+00,2.84E-01
1.16E+00,2.89E-01
1.18E+00,2.94E-01
1.20E+00,2.98E-01
1.22E+00,3.03E-01
1.24E+00,3.08E-01
1.26E+00,3.13E-01
1.28E+00,3.18E-01
1.30E+00,3.23E-01
1.32E+00,3.27E-01
1.34E+00,3.32E-01
1.36E+00,3.37E-01
1.38E+00,3.42E-01
1.40E+00,3.47E-01
1.42E+00,3.51E-01
1.44E+00,3.56E-01
1.46E+00,3.61E-01
1.48E+00,3.66E-01
1.50E+00,3.71E-01
1.52E+00,3.76E-01
1.54E+00,3.80E-01
1.56E+00,3.85E-01
1.58E+00,3.90E-01
1.60E+00,3.95E-01
1.62E+00,4.00E-01
1.64E+00,4.05E-01
1.66E+00,4.09E-01
1.68E+00,4.14E-01
1.70E+00,4.19E-01
1.72E+00,4.24E-01
1.74E+00,4.29E-01
1.76E+00,4.34E-01
1.78E+00,4.38E-01
1.80E+00,4.43E-01
1.82E+00,4.48E-01
1.84E+00,4.53E-01
1.86E+00,4.58E-01
1.88E+00,4.62E-01
1.90E+00,4.67E-01
1.92E+00,4.72E-01
1.94E+00,4.77E-01
1.96E+00,4.82E-01
1.98E+00,4.87E-01
2.00E+00,4.91E-01
