#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.47E-01
4.00E-02,3.02E-01
6.00E-02,3.56E-01
8.00E-02,4.10E-01
1.00E-01,4.64E-01
1.20E-01,5.18E-01
1.40E-01,5.73E-01
1.60E-01,6.27E-01
1.80E-01,6.82E-01
2.00E-01,7.36E-01
2.20E-01,7.91E-01
2.40E-01,8.45E-01
2.60E-01,9.00E-01
2.80E-01,9.55E-01
3.00E-01,1.01E+00
3.20E-01,1.06E+00
3.40E-01,1.12E+00
3.60E-01,1.17E+00
3.80E-01,1.23E+00
4.00E-01,1.28E+00
4.20E-01,1.34E+00
4.40E-01,1.39E+00
4.60E-01,1.45E+00
4.80E-01,1.50E+00
5.00E-01,1.56E+00
5.20E-01,1.61E+00
5.40E-01,1.67E+00
5.60E-01,1.72E+00
5.80E-01,1.78E+00
6.00E-01,1.83E+00
6.20E-01,1.89E+00
6.40E-01,1.94E+00
6.60E-01,2.00E+00
6.80E-01,2.05E+00
7.00E-01,2.10E+00
7.20E-01,2.16E+00
7.40E-01,2.21E+00
7.60E-01,2.27E+00
7.80E-01,2.32E+00
8.00E-01,2.38E+00
8.20E-01,2.43E+00
8.40E-01,2.49E+00
8.60E-01,2.54E+00
8.80E-01,2.60E+00
9.00E-01,2.65E+00
9.20E-01,2.71E+00
9.40E-01,2.76E+00
9.60E-01,2.82E+00
9.80E-01,2.87E+00
1.00E+00,2.93E+00
1.02E+00,2.99E+00
1.04E+00,3.04E+00
1.06E+00,3.10E+00
1.08E+00,3.15E+00
1.10E+00,3.21E+00
1.12E+00,3.26E+00
1.14E+00,3.32E+00
1.16E+00,3.38E+00
1.18E+00,3.43E+00
1.20E+00,3.49E+00
1.22E+00,3.54E+00
1.24E+00,3.60E+00
1.26E+00,3.65E+00
1.28E+00,3.71E+00
1.30E+00,3.77E+00
1.32E+00,3.82E+00
1.34E+00,3.88E+00
1.36E+00,3.93E+00
1.38E+00,3.99E+00
1.40E+00,4.05E+00
1.42E+00,4.10E+00
1.44E+00,4.16E+00
1.46E+00,4.21E+00
1.48E+00,4.27E+00
1.50E+00,4.33E+00
1.52E+00,4.38E+00
1.54E+00,4.44E+00
1.56E+00,4.49E+00
1.58E+00,4.55E+00
1.60E+00,4.60E+00
1.62E+00,4.66E+00
1.64E+00,4.72E+00
1.66E+00,4.77E+00
1.68E+00,4.83E+00
1.70E+00,4.88E+00
1.72E+00,4.94E+00
1.74E+00,5.00E+00
1.76E+00,5.05E+00
1.78E+00,5.11E+00
1.80E+00,5.16E+00
1.82E+00,5.22E+00
1.84E+00,5.28E+00
1.86E+00,5.33E+00
1.88E+00,5.39E+00
1.90E+00,5.44E+00
1.92E+00,5.50E+00
1.94E+00,5.55E+00
1.96E+00,5.61E+00
1.98E+00,5.67E+00
2.00E+00,5.72E+00
