#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,3.21E-04
4.00E-02,4.00E-04
6.00E-02,4.73E-04
8.00E-02,5.44E-04
1.00E-01,6.14E-04
1.20E-01,6.84E-04
1.40E-01,7.54E-04
1.60E-01,8.24E-04
1.80E-01,8.94E-04
2.00E-01,9.63E-04
2.20E-01,1.03E-03
2.40E-01,1.10E-03
2.60E-01,1.17E-03
2.80E-01,1.24E-03
3.00E-01,1.31E-03
3.20E-01,1.38E-03
3.40E-01,1.45E-03
3.60E-01,1.52E-03
3.80E-01,1.59E-03
4.00E-01,1.66E-03
4.20E-01,1.73E-03
4.40E-01,1.80E-03
4.60E-01,1.87E-03
4.80E-01,1.94E-03
5.00E-01,2.01E-03
5.20E-01,2.08E-03
5.40E-01,2.14E-03
5.60E-01,2.21E-03
5.80E-01,2.28E-03
6.00E-01,2.35E-03
6.20E-01,2.42E-03
6.40E-01,2.49E-03
6.60E-01,2.56E-03
6.80E-01,2.63E-03
7.00E-01,2.70E-03
7.20E-01,2.77E-03
7.40E-01,2.84E-03
7.60E-01,2.91E-03
7.80E-01,2.98E-03
8.00E-01,3.05E-03
8.20E-01,3.12E-03
8.40E-01,3.19E-03
8.60E-01,3.26E-03
8.80E-01,3.33E-03
9.00E-01,3.40E-03
9.20E-01,3.47E-03
9.40E-01,3.54E-03
9.60E-01,3.61E-03
9.80E-01,3.68E-03
1.00E+00,3.75E-03
1.02E+00,3.82E-03
1.04E+00,3.89E-03
1.06E+00,3.96E-03
1.08E+00,4.03E-03
1.10E+00,4.10E-03
1.12E+00,4.17E-03
1.14E+00,4.24E-03
1.16E+00,4.31E-03
1.18E+00,4.38E-03
1.20E+00,4.45E-03
1.22E+00,4.52E-03
1.24E+00,4.59E-03
1.26E+00,4.66E-03
1.28E+00,4.73E-03
1.30E+00,4.80E-03
1.32E+00,4.88E-03
1.34E+00,4.95E-03
1.36E+00,5.02E-03
1.38E+00,5.09E-03
1.40E+00,5.16E-03
1.42E+00,5.23E-03
1.44E+00,5.30E-03
1.46E+00,5.37E-03
1.48E+00,5.44E-03
1.50E+00,5.51E-03
1.52E+00,5.58E-03
1.54E+00,5.65E-03
1.56E+00,5.72E-03
1.58E+00,5.79E-03
1.60E+00,5.86E-03
1.62E+00,5.94E-03
1.64E+00,6.01E-03
1.66E+00,6.08E-03
1.68E+00,6.15E-03
1.70E+00,6.22E-03
1.72E+00,6.29E-03
1.74E+00,6.36E-03
1.76E+00,6.43E-03
1.78E+00,6.50E-03
1.80E+00,6.57E-03
1.82E+00,6.64E-03
1.84E+00,6.71E-03
1.86E+00,6.78E-03
1.88E+00,6.85E-03
1.90E+00,6.93E-03
1.92E+00,7.00E-03
1.94E+00,7.07E-03
1.96E+00,7.14E-03
1.98E+00,7.21E-03
2.00E+00,7.28E-03
