#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,3.10E-01
4.00E-02,3.80E-01
6.00E-02,4.49E-01
8.00E-02,5.17E-01
1.00E-01,5.86E-01
1.20E-01,6.54E-01
1.40E-01,7.23E-01
1.60E-01,7.92E-01
1.80E-01,8.61E-01
2.00E-01,9.30E-01
2.20E-01,9.99E-01
2.40E-01,1.07E+00
2.60E-01,1.14E+00
2.80E-01,1.21E+00
3.00E-01,1.28E+00
3.20E-01,1.34E+00
3.40E-01,1.41E+00
3.60E-01,1.48E+00
3.80E-01,1.55E+00
4.00E-01,1.62E+00
4.20E-01,1.69E+00
4.40E-01,1.76E+00
4.60E-01,1.83E+00
4.80E-01,1.90E+00
5.00E-01,1.97E+00
5.20E-01,2.04E+00
5.40E-01,2.11E+00
5.60E-01,2.18E+00
5.80E-01,2.25E+00
6.00E-01,2.31E+00
6.20E-01,2.38E+00
6.40E-01,2.45E+00
6.60E-01,2.52E+00
6.80E-01,2.59E+00
7.00E-01,2.66E+00
7.20E-01,2.73E+00
7.40E-01,2.80E+00
7.60E-01,2.87E+00
7.80E-01,2.94E+00
8.00E-01,3.01E+00
8.20E-01,3.08E+00
8.40E-01,3.15E+00
8.60E-01,3.22E+00
8.80E-01,3.29E+00
9.00E-01,3.36E+00
9.20E-01,3.43E+00
9.40E-01,3.50E+00
9.60E-01,3.56E+00
9.80E-01,3.63E+00
1.00E+00,3.70E+00
1.02E+00,3.77E+00
1.04E+00,3.84E+00
1.06E+00,3.92E+00
1.08E+00,3.99E+00
1.10E+00,4.06E+00
1.12E+00,4.13E+00
1.14E+00,4.20E+00
1.16E+00,4.27E+00
1.18E+00,4.34E+00
1.20E+00,4.41E+00
1.22E+00,4.48E+00
1.24E+00,4.55E+00
1.26E+00,4.62E+00
1.28E+00,4.69E+00
1.30E+00,4.76E+00
1.32E+00,4.83E+00
1.34E+00,4.90E+00
1.36E+00,4.97E+00
1.38E+00,5.04E+00
1.40E+00,5.11E+00
1.42E+00,5.19E+00
1.44E+00,5.26E+00
1.46E+00,5.33E+00
1.48E+00,5.40E+00
1.50E+00,5.47E+00
1.52E+00,5.54E+00
1.54E+00,5.61E+00
1.56E+00,5.68E+00
1.58E+00,5.75E+00
1.60E+00,5.82E+00
1.62E+00,5.89E+00
1.64E+00,5.96E+00
1.66E+00,6.03E+00
1.68E+00,6.10E+00
1.70E+00,6.17E+00
1.72E+00,6.24E+00
1.74E+00,6.32E+00
1.76E+00,6.39E+00
1.78E+00,6.46E+00
1.80E+00,6.53E+00
1.82E+00,6.60E+00
1.84E+00,6.67E+00
1.86E+00,6.74E+00
1.88E+00,6.81E+00
1.90E+00,6.88E+00
1.92E+00,6.95E+00
1.94E+00,7.02E+00
1.96E+00,7.09E+00
1.98E+00,7.16E+00
2.00E+00,7.23E+00
