#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.41E-01
4.00E-02,2.96E-01
6.00E-02,3.50E-01
8.00E-02,4.04E-01
1.00E-01,4.58E-01
1.20E-01,5.12E-01
1.40E-01,5.67E-01
1.60E-01,6.21E-01
1.80E-01,6.76E-01
2.00E-01,7.31E-01
2.20E-01,7.85E-01
2.40E-01,8.40E-01
2.60E-01,8.94E-01
2.80E-01,9.49E-01
3.00E-01,1.00E+00
3.20E-01,1.06E+00
3.40E-01,1.11E+00
3.60E-01,1.17E+00
3.80E-01,1.22E+00
4.00E-01,1.28E+00
4.20E-01,1.33E+00
4.40E-01,1.39E+00
4.60E-01,1.44E+00
4.80E-01,1.50E+00
5.00E-01,1.55E+00
5.20E-01,1.61E+00
5.40E-01,1.66E+00
5.60E-01,1.72E+00
5.80E-01,1.77E+00
6.00E-01,1.83E+00
6.20E-01,1.88E+00
6.40E-01,1.93E+00
6.60E-01,1.99E+00
6.80E-01,2.04E+00
7.00E-01,2.10E+00
7.20E-01,2.15E+00
7.40E-01,2.21E+00
7.60E-01,2.26E+00
7.80E-01,2.32E+00
8.00E-01,2.37E+00
8.20E-01,2.43E+00
8.40E-01,2.48E+00
8.60E-01,2.54E+00
8.80E-01,2.59E+00
9.00E-01,2.65E+00
9.20E-01,2.70E+00
9.40E-01,2.76E+00
9.60E-01,2.81E+00
9.80E-01,2.87E+00
1.00E+00,2.92E+00
1.02E+00,2.98E+00
1.04E+00,3.04E+00
1.06E+00,3.09E+00
1.08E+00,3.15E+00
1.10E+00,3.20E+00
1.12E+00,3.26E+00
1.14E+00,3.31E+00
1.16E+00,3.37E+00
1.18E+00,3.43E+00
1.20E+00,3.48E+00
1.22E+00,3.54E+00
1.24E+00,3.59E+00
1.26E+00,3.65E+00
1.28E+00,3.71E+00
1.30E+00,3.76E+00
1.32E+00,3.82E+00
1.34E+00,3.87E+00
1.36E+00,3.93E+00
1.38E+00,3.98E+00
1.40E+00,4.04E+00
1.42E+00,4.10E+00
1.44E+00,4.15E+00
1.46E+00,4.21E+00
1.48E+00,4.26E+00
1.50E+00,4.32E+00
1.52E+00,4.38E+00
1.54E+00,4.43E+00
1.56E+00,4.49E+00
1.58E+00,4.54E+00
1.60E+00,4.60E+00
1.62E+00,4.65E+00
1.64E+00,4.71E+00
1.66E+00,4.77E+00
1.68E+00,4.82E+00
1.70E+00,4.88E+00
1.72E+00,4.93E+00
1.74E+00,4.99E+00
1.76E+00,5.05E+00
1.78E+00,5.10E+00
1.80E+00,5.16E+00
1.82E+00,5.21E+00
1.84E+00,5.27E+00
1.86E+00,5.33E+00
1.88E+00,5.38E+00
1.90E+00,5.44E+00
1.92E+00,5.49E+00
1.94E+00,5.55E+00
1.96E+00,5.61E+00
1.98E+00,5.66E+00
2.00E+00,5.72E+00
