#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,7.11E-03
4.00E-02,4.10E-03
6.00E-02,2.96E-03
8.00E-02,2.34E-03
1.00E-01,1.96E-03
1.20E-01,1.69E-03
1.40E-01,1.50E-03
1.60E-01,1.35E-03
1.80E-01,1.23E-03
2.00E-01,1.13E-03
2.20E-01,1.05E-03
2.40E-01,9.83E-04
2.60E-01,9.25E-04
2.80E-01,8.75E-04
3.00E-01,8.31E-04
3.20E-01,7.92E-04
3.40E-01,7.58E-04
3.60E-01,7.27E-04
3.80E-01,7.00E-04
4.00E-01,6.75E-04
4.20E-01,6.52E-04
4.40E-01,6.31E-04
4.60E-01,6.12E-04
4.80E-01,5.95E-04
5.00E-01,5.78E-04
5.20E-01,5.63E-04
5.40E-01,5.49E-04
5.60E-01,5.36E-04
5.80E-01,5.24E-04
6.00E-01,5.13E-04
6.20E-01,5.02E-04
6.40E-01,4.92E-04
6.60E-01,4.83E-04
6.80E-01,4.74E-04
7.00E-01,4.66E-04
7.20E-01,4.58E-04
7.40E-01,4.50E-04
7.60E-01,4.43E-04
7.80E-01,4.37E-04
8.00E-01,4.30E-04
8.20E-01,4.24E-04
8.40E-01,4.18E-04
8.60E-01,4.13E-04
8.80E-01,4.07E-04
9.00E-01,4.02E-04
9.20E-01,3.98E-04
9.40E-01,3.93E-04
9.60E-01,3.89E-04
9.80E-01,3.84E-04
1.00E+00,3.80E-04
1.02E+00,3.76E-04
1.04E+00,3.72E-04
1.06E+00,3.69E-04
1.08E+00,3.65E-04
1.10E+00,3.62E-04
1.12E+00,3.59E-04
1.14E+00,3.56E-04
1.16E+00,3.53E-04
1.18E+00,3.50E-04
1.20E+00,3.47E-04
1.22E+00,3.44E-04
1.24E+00,3.42E-04
1.26E+00,3.39E-04
1.28E+00,3.37E-04
1.30E+00,3.34E-04
1.32E+00,3.32E-04
1.34E+00,3.30E-04
1.36E+00,3.27E-04
1.38E+00,3.25E-04
1.40E+00,3.23E-04
1.42E+00,3.21E-04
1.44E+00,3.19E-04
1.46E+00,3.18E-04
1.48E+00,3.16E-04
1.50E+00,3.14E-04
1.52E+00,3.12E-04
1.54E+00,3.11E-04
1.56E+00,3.09E-04
1.58E+00,3.07E-04
1.60E+00,3.06E-04
1.62E+00,3.04E-04
1.64E+00,3.03E-04
1.66E+00,3.02E-04
1.68E+00,3.00E-04
1.70E+00,2.99E-04
1.72E+00,2.98E-04
1.74E+00,2.96E-04
1.76E+00,2.95E-04
1.78E+00,2.94E-04
1.80E+00,2.93E-04
1.82E+00,2.91E-04
1.84E+00,2.90E-04
1.86E+00,2.89E-04
1.88E+00,2.88E-04
1.90E+00,2.87E-04
1.92E+00,2.86E-04
1.94E+00,2.85E-04
1.96E+00,2.84E-04
1.98E+00,2.83E-04
2.00E+00,2.82E-04
